model,epoch,vs_baseline_wins,vs_baseline_total,vs_baseline_winrate,vs_random_wins,vs_random_total,vs_random_winrate,vs_prev_wins,vs_prev_total,vs_prev_winrate,elo_rating,elo_smooth,baseline_smooth,random_smooth,prev_smooth
20251006_2237-EXP_id03_epoch_0076,76,0,50,0.0,725,50,1450.0,1250,50,2500.0,398.16230444509745,408.5772445967769,1250.0,1333.3333333333333,2083.3333333333335
20251007_0658-EXP_id03_epoch_0077,77,0,50,0.0,625,50,1250.0,0,50,0.0,382.3517865938082,398.08485486163045,416.6666666666667,1333.3333333333333,1250.0
20250930_0930-EXP_id03_epoch_0079,79,0,50,0.0,450,50,900.0,1250,50,2500.0,398.5443010450571,393.01946402798757,0.0,1200.0,1666.6666666666667
20251005_2129-EXP_id03_epoch_0080,80,625,50,1250.0,600,50,1200.0,625,50,1250.0,414.2350766469708,398.3770547619454,416.6666666666667,1116.6666666666667,1250.0
20251006_2239-EXP_id03_epoch_0081,81,0,50,0.0,525,50,1050.0,0,50,0.0,382.6367513854313,398.4720430258198,416.6666666666667,1050.0,1250.0
20251007_0700-EXP_id03_epoch_0082,82,0,50,0.0,650,50,1300.0,625,50,1250.0,398.8332230253618,398.56835035258797,416.6666666666667,1183.3333333333333,833.3333333333334
20250930_0931-EXP_id03_epoch_0084,84,1250,50,2500.0,600,50,1200.0,0,50,0.0,398.5303311899739,393.3334352002557,833.3333333333334,1183.3333333333333,416.6666666666667
20251005_2130-EXP_id03_epoch_0085,85,1250,50,2500.0,700,50,1400.0,1250,50,2500.0,414.4191983338707,403.9275841830688,1666.6666666666667,1300.0,1250.0
20251006_2241-EXP_id03_epoch_0086,86,1250,50,2500.0,700,50,1400.0,625,50,1250.0,414.31125009460453,409.08692653948304,2500.0,1333.3333333333333,1250.0
20251007_0702-EXP_id03_epoch_0087,87,0,50,0.0,600,50,1200.0,625,50,1250.0,398.70459590946405,409.14501477931316,1666.6666666666667,1333.3333333333333,1666.6666666666667
